CaseID,TVchildBR,compchildBR,tabletchildBR,cellchildBR,gamechildBR,mp3childBR,count
1149,2,2,2,2,2,2,12
1168,2,2,2,2,2,2,12
1170,2,2,2,2,2,2,12
1174,2,2,2,2,2,1,11
1219,2,2,2,2,2,1,11
1261,1,1,2,1,1,1,7
1267,2,2,2,2,2,2,12
1271,2,2,2,2,2,2,12
1281,2,2,2,2,2,2,12
1284,2,2,2,2,2,2,12
1307,2,2,2,2,2,2,12
1309,1,2,1,2,2,1,9
1317,2,2,2,2,2,1,11
1321,2,2,1,2,1,2,10
1331,2,2,2,2,2,1,11
1345,1,2,1,2,2,2,10
1364,2,1,2,2,1,1,9
1399,1,2,2,2,2,1,10
1412,2,2,2,2,2,2,12
1415,2,2,2,2,2,1,11
1422,2,2,1,2,2,1,10
1440,1,2,2,2,2,2,11
1442,2,2,2,2,2,1,11
1448,2,2,1,2,2,2,11
1449,1,2,2,1,2,2,10
1463,2,2,2,2,2,1,11
1467,2,2,2,2,2,2,12
1475,2,2,2,2,2,2,12
1491,2,2,2,2,2,2,12
1506,2,2,2,1,2,1,10
1523,2,2,2,2,2,2,12
1533,2,2,2,2,2,2,12
1544,2,2,2,2,2,2,12
52,2,2,2,2,2,2,12
96,2,2,2,2,2,2,12
210,2,2,2,2,2,2,12
282,2,2,2,2,2,2,12
284,1,2,1,2,1,2,9
317,2,2,2,2,2,2,12
399,2,2,2,2,2,1,11
411,1,2,2,2,2,2,11
573,2,2,2,2,2,2,12
578,2,1,2,2,2,2,11
622,1,2,2,2,2,2,11
717,2,2,2,2,2,2,12
769,2,2,2,2,2,1,11
824,2,2,2,2,2,2,12
876,1,2,2,2,2,2,11
941,2,1,2,2,2,2,11
974,2,2,2,2,2,2,12
1044,1,2,2,2,1,2,10
1076,2,2,2,2,2,1,11
1139,1,2,2,2,1,1,9
1152,2,2,2,2,2,1,11
1155,2,2,2,2,2,2,12
1176,2,2,2,2,2,1,11
1188,1,2,2,2,1,2,10
1302,2,2,2,2,2,1,11
1314,2,2,2,2,2,2,12
1389,1,2,1,2,1,1,8
1443,1,2,2,2,1,2,10
1545,1,2,1,2,1,1,8
603,2,2,2,2,2,1,11
944,2,2,2,2,2,2,12
68,1,2,2,1,1,1,8
287,1,2,1,2,1,2,9
718,2,2,1,2,1,1,9
820,2,2,1,1,2,2,10
888,2,2,2,2,2,2,12
1435,1,1,1,2,1,1,7
250,1,2,1,1,1,1,7
280,1,2,2,1,2,2,10
